"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.High","PropHKPriceEdge.High","PropnetProbBEdge.High","KProbHKPrice.High","KProbnetProbB.High","KProbFixed.High","KProbFixednetProbB.High","X.KEMProb.High","KEMProbnetProbB.High","KProbHalf.High","KProbHalfnetProbB.High","KProbQuarter.High","KProbQuarternetProbB.High","KProbAdj.High","KProbAdjnetProbB.High","KHalfAdj.High","KHalfAdjnetProbB.High","KEMQuarterAdj.High","KEMQuarterAdjnetProbB.High"
"1","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  ","Min.   : 19944  "
"2","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  ","1st Qu.: 75045  "
"3","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  ","Median :103707  "
"4","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  ","Mean   :104418  "
"5","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  ","3rd Qu.:137124  "
"6","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  ","Max.   :183018  "
"7","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  ","Min.   : 4779  "
"9","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  ","1st Qu.:17831  "
"10","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  ","Median :24676  "
