"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.Open","PropHKPriceEdge.Open","PropnetProbBEdge.Open","KProbHKPrice.Open","KProbnetProbB.Open","KProbFixed.Open","KProbFixednetProbB.Open","X.KEMProb.Open","KEMProbnetProbB.Open","KProbHalf.Open","KProbHalfnetProbB.Open","KProbQuarter.Open","KProbQuarternetProbB.Open","KProbAdj.Open","KProbAdjnetProbB.Open","KHalfAdj.Open","KHalfAdjnetProbB.Open","KEMQuarterAdj.Open","KEMQuarterAdjnetProbB.Open"
"1","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :15188  ","Min.   :     1  ","Min.   :     1.37  ","Min.   :15192  ","Min.   :15192  ","Min.   :15192  ","Min.   :15192  ","Min.   :19943  ","Min.   :19943  ","Min.   :18784  ","Min.   :18784  ","Min.   :19683  ","Min.   :19683  ","Min.   :15192  ","Min.   :15192  ","Min.   :19398  ","Min.   :19380  ","Min.   :19898  ","Min.   :19891  "
"2","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:33006  ","1st Qu.: 74978  ","1st Qu.: 74969.45  ","1st Qu.:32997  ","1st Qu.:32997  ","1st Qu.:32997  ","1st Qu.:32997  ","1st Qu.:20462  ","1st Qu.:20462  ","1st Qu.:22960  ","1st Qu.:22965  ","1st Qu.:20450  ","1st Qu.:20465  ","1st Qu.:32997  ","1st Qu.:32997  ","1st Qu.:21521  ","1st Qu.:21591  ","1st Qu.:20155  ","1st Qu.:20179  "
"3","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :39850  ","Median :103642  ","Median :103632.84  ","Median :39855  ","Median :39855  ","Median :39855  ","Median :39855  ","Median :20742  ","Median :20742  ","Median :24537  ","Median :24540  ","Median :20672  ","Median :20694  ","Median :39855  ","Median :39855  ","Median :22271  ","Median :22309  ","Median :20237  ","Median :20258  "
"4","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :39832  ","Mean   :103827  ","Mean   :103820.32  ","Mean   :39835  ","Mean   :39835  ","Mean   :39835  ","Mean   :39835  ","Mean   :20759  ","Mean   :20759  ","Mean   :24507  ","Mean   :24512  ","Mean   :20654  ","Mean   :20679  ","Mean   :39835  ","Mean   :39835  ","Mean   :22267  ","Mean   :22313  ","Mean   :20238  ","Mean   :20260  "
"5","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:47661  ","3rd Qu.:137053  ","3rd Qu.:137037.33  ","3rd Qu.:47659  ","3rd Qu.:47659  ","3rd Qu.:47659  ","3rd Qu.:47659  ","3rd Qu.:21135  ","3rd Qu.:21135  ","3rd Qu.:26261  ","3rd Qu.:26269  ","3rd Qu.:20893  ","3rd Qu.:20928  ","3rd Qu.:47659  ","3rd Qu.:47659  ","3rd Qu.:23141  ","3rd Qu.:23177  ","3rd Qu.:20337  ","3rd Qu.:20362  "
"6","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :58676  ","Max.   :183015  ","Max.   :183018.49  ","Max.   :58684  ","Max.   :58684  ","Max.   :58684  ","Max.   :58684  ","Max.   :21461  ","Max.   :21461  ","Max.   :28846  ","Max.   :28852  ","Max.   :21362  ","Max.   :21405  ","Max.   :58684  ","Max.   :58684  ","Max.   :24425  ","Max.   :24508  ","Max.   :20491  ","Max.   :20535  "
"7","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :    1  ","Min.   :4704  ","Min.   :4702  ","Min.   :4755  ","Min.   :4753  ","Min.   :4771  ","Min.   :4770  ","Min.   :4755  ","Min.   :4753  ","Min.   :4777  ","Min.   :4778  ","Min.   :4779  ","Min.   :4779  ","Min.   :4771  ","Min.   :4770  ","Min.   :4777  ","Min.   :4777  ","Min.   :4778  ","Min.   :4778  "
"9","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:17820  ","1st Qu.:6408  ","1st Qu.:6431  ","1st Qu.:5306  ","1st Qu.:5321  ","1st Qu.:4953  ","1st Qu.:4960  ","1st Qu.:5306  ","1st Qu.:5321  ","1st Qu.:4796  ","1st Qu.:4791  ","1st Qu.:4779  ","1st Qu.:4779  ","1st Qu.:4953  ","1st Qu.:4960  ","1st Qu.:4819  ","1st Qu.:4823  ","1st Qu.:4788  ","1st Qu.:4790  "
"10","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :24663  ","Median :7330  ","Median :7376  ","Median :5605  ","Median :5633  ","Median :5050  ","Median :5059  ","Median :5605  ","Median :5633  ","Median :4806  ","Median :4795  ","Median :4779  ","Median :4779  ","Median :5050  ","Median :5059  ","Median :4841  ","Median :4848  ","Median :4794  ","Median :4797  "
