"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.Volume","PropHKPriceEdge.Volume","PropnetProbBEdge.Volume","KProbHKPrice.Volume","KProbnetProbB.Volume","KProbFixed.Volume","KProbFixednetProbB.Volume","KEMProb.Volume","KEMProbnetProbB.Volume","KProbHalf.Volume","KProbHalfnetProbB.Volume","KProbQuarter.Volume","KProbQuarternetProbB.Volume","KProbAdj.Volume","KProbAdjnetProbB.Volume","KHalfAdj.Volume","KHalfAdjnetProbB.Volume","KEMQuarterAdj.Volume","KEMQuarterAdjnetProbB.Volume"
"1","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :   0.50  ","Min.   :   2.80  ","Min.   :   2.518  ","Min.   :   0.50  ","Min.   :   0.50  ","Min.   :   0.50  ","Min.   :   0.50  ","Min.   :0.07686  ","Min.   :0.07686  ","Min.   :  0.000  ","Min.   :  0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   :   0.50  ","Min.   :   0.50  ","Min.   :  0.04419  ","Min.   :  0.0186  ","Min.   : 0.001752  ","Min.   : 0.00001  "
"2","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:  12.50  ","1st Qu.:  52.86  ","1st Qu.:  52.636  ","1st Qu.:  12.50  ","1st Qu.:  12.50  ","1st Qu.:  12.50  ","1st Qu.:  12.50  ","1st Qu.:0.87514  ","1st Qu.:0.87514  ","1st Qu.:  2.574  ","1st Qu.:  2.575  ","1st Qu.: 0.0000  ","1st Qu.: 0.0000  ","1st Qu.:  12.50  ","1st Qu.:  12.50  ","1st Qu.:  1.42401  ","1st Qu.:  1.3993  ","1st Qu.: 0.162111  ","1st Qu.: 0.15220  "
"3","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :  26.00  ","Median : 110.34  ","Median : 110.275  ","Median :  26.00  ","Median :  26.00  ","Median :  26.00  ","Median :  26.00  ","Median :1.03411  ","Median :1.03411  ","Median :  6.045  ","Median :  6.048  ","Median : 0.8272  ","Median : 0.8439  ","Median :  26.00  ","Median :  26.00  ","Median :  3.05504  ","Median :  3.0992  ","Median : 0.359275  ","Median : 0.37422  "
"4","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :  40.53  ","Mean   : 168.78  ","Mean   : 168.787  ","Mean   :  40.53  ","Mean   :  40.53  ","Mean   :  40.53  ","Mean   :  40.53  ","Mean   :1.02799  ","Mean   :1.02799  ","Mean   :  9.582  ","Mean   :  9.583  ","Mean   : 1.8106  ","Mean   : 1.8265  ","Mean   :  40.53  ","Mean   :  40.53  ","Mean   :  4.73391  ","Mean   :  4.8490  ","Mean   : 0.562677  ","Mean   : 0.61187  "
"5","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:  50.00  ","3rd Qu.: 204.54  ","3rd Qu.: 204.517  ","3rd Qu.:  50.00  ","3rd Qu.:  50.00  ","3rd Qu.:  50.00  ","3rd Qu.:  50.00  ","3rd Qu.:1.18917  ","3rd Qu.:1.18917  ","3rd Qu.: 11.806  ","3rd Qu.: 11.782  ","3rd Qu.: 2.2386  ","3rd Qu.: 2.2458  ","3rd Qu.:  50.00  ","3rd Qu.:  50.00  ","3rd Qu.:  5.69606  ","3rd Qu.:  5.8483  ","3rd Qu.: 0.681064  ","3rd Qu.: 0.74440  "
"6","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1600.00  ","Max.   :6702.41  ","Max.   :6702.423  ","Max.   :1600.00  ","Max.   :1600.00  ","Max.   :1600.00  ","Max.   :1600.00  ","Max.   :1.81204  ","Max.   :1.81204  ","Max.   :399.515  ","Max.   :399.587  ","Max.   :99.2718  ","Max.   :99.3804  ","Max.   :1600.00  ","Max.   :1600.00  ","Max.   :204.07878  ","Max.   :225.6129  ","Max.   :26.030094  ","Max.   :31.81324  "
"7","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Kelly1","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :   0.50  ","Min.   : 0.000  ","Min.   : 0.1201  ","Min.   :0.0000  ","Min.   :0.0400  ","Min.   :0.03101  ","Min.   :0.03754  ","Min.   :0.0000  ","Min.   :0.0400  ","Min.   :0.00000  ","Min.   :3.182e-05  ","Min.   :0  ","Min.   :0  ","Min.   :0.03101  ","Min.   :0.03754  ","Min.   :0.002024  ","Min.   :2.487e-05  ","Min.   :2.152e-05  ","Min.   :2.000e-08  "
"9","Kelly1","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:  12.50  ","1st Qu.: 2.508  ","1st Qu.: 2.3791  ","1st Qu.:0.7606  ","1st Qu.:0.7816  ","1st Qu.:0.30702  ","1st Qu.:0.35604  ","1st Qu.:0.7606  ","1st Qu.:0.7816  ","1st Qu.:0.00000  ","1st Qu.:7.755e-03  ","1st Qu.:0  ","1st Qu.:0  ","1st Qu.:0.30702  ","1st Qu.:0.35604  ","1st Qu.:0.077703  ","1st Qu.:6.961e-02  ","1st Qu.:1.768e-02  ","1st Qu.:1.298e-02  "
"10","Kelly1","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :  26.00  ","Median : 3.293  ","Median : 3.2566  ","Median :1.0704  ","Median :1.0689  ","Median :0.36589  ","Median :0.36890  ","Median :1.0704  ","Median :1.0689  ","Median :0.00000  ","Median :1.609e-02  ","Median :0  ","Median :0  ","Median :0.36589  ","Median :0.36890  ","Median :0.083037  ","Median :9.262e-02  ","Median :2.016e-02  ","Median :2.268e-02  "
